Contract Name,Type,Put/Call,Strike,Maturity (Year),Market Price,Implied Vol,Delta,Gamma,Vega,Rho,Theta
SPY210719C00250000,European,Call,250.0,0.0079365079,180.09,,,,,,
SPY210719C00255000,European,Call,255.0,0.0079365079,175.21,,,,,,
SPY210719C00260000,European,Call,260.0,0.0079365079,170.2,,,,,,
SPY210719C00265000,European,Call,265.0,0.0079365079,166.04,,,,,,
SPY210719C00270000,European,Call,270.0,0.0079365079,161.4,1.97266,0.997056,0.000118676,0.345687,2.13176,-50.1382
SPY210719C00275000,European,Call,275.0,0.0079365079,153.15,,,,,,
SPY210719C00280000,European,Call,280.0,0.0079365079,152.71,2.77222,0.969489,0.000647724,2.65147,2.10636,-470.17
SPY210719C00285000,European,Call,285.0,0.0079365079,147.57,2.62085,0.970745,0.000661663,2.56064,2.15147,-430.039
SPY210719C00290000,European,Call,290.0,0.0079365079,142.62,2.54517,0.968879,0.000717172,2.69531,2.18437,-439.536
SPY210719C00295000,European,Call,295.0,0.0079365079,135.96,,,,,,
SPY210719C00300000,European,Call,300.0,0.0079365079,132.66,2.37305,0.96589,0.000829618,2.90706,2.25318,-442.197
SPY210719C00305000,European,Call,305.0,0.0079365079,128.99,2.64343,0.944049,0.00111006,4.33293,2.20755,-729.021
SPY210719C00315000,European,Call,315.0,0.0079365079,116.65,1.64795,0.986612,0.000542214,1.31942,2.45118,-145.236
SPY210719C00325000,European,Call,325.0,0.0079365079,107.79,1.96289,0.956043,0.00123313,3.57416,2.41685,-450.125
SPY210719C00330000,European,Call,330.0,0.0079365079,91.08,,,,,,
SPY210719C00335000,European,Call,335.0,0.0079365079,97.8,1.79077,0.951994,0.00145083,3.83641,2.48229,-441.176
SPY210719C00345000,European,Call,345.0,0.0079365079,83.17,,,,,,
SPY210719C00350000,European,Call,350.0,0.0079365079,80.42,,,,,,
SPY210719C00355000,European,Call,355.0,0.0079365079,80.87,1.95892,0.885644,0.0025683,7.42901,2.38954,-924.874
SPY210719C00365000,European,Call,365.0,0.0079365079,69.56,1.57974,0.895691,0.00298114,6.95405,2.5137,-700.555
SPY210719C00370000,European,Call,370.0,0.0079365079,65.99,1.6684,0.865789,0.00337298,8.30966,2.43968,-881.635
SPY210719C00375000,European,Call,375.0,0.0079365079,59.63,1.39908,0.882139,0.00367388,7.5899,2.54613,-677.562
SPY210719C00380000,European,Call,380.0,0.0079365079,44.44,,,,,,
SPY210719C00385000,European,Call,385.0,0.0079365079,52.21,1.48872,0.822169,0.00455201,10.0066,2.39975,-946.588
SPY210719C00390000,European,Call,390.0,0.0079365079,45.15,1.17096,0.845773,0.00527825,9.12644,2.53657,-681.801
SPY210719C00392000,European,Call,392.0,0.0079365079,42.92,1.10641,0.846154,0.00557706,9.11151,2.55557,-643.711
SPY210719C00393000,European,Call,393.0,0.0079365079,41.16,1.00082,0.861972,0.00573186,8.47072,2.62368,-542.926
SPY210719C00395000,European,Call,395.0,0.0079365079,39.23,0.971375,0.855636,0.00608807,8.73244,2.61731,-543.208
SPY210719C00398000,European,Call,398.0,0.0079365079,38.41,1.13388,0.801615,0.00639405,10.7056,2.43892,-772.961
SPY210719C00400000,European,Call,400.0,0.0079365079,31.2,,,,,,
SPY210719C00401000,European,Call,401.0,0.0079365079,33.42,0.877151,0.834751,0.00737182,9.54812,2.59194,-536.36
SPY210719C00402000,European,Call,402.0,0.0079365079,32.97,0.913162,0.817867,0.00753334,10.1579,2.53772,-592.92
SPY210719C00404000,European,Call,404.0,0.0079365079,29.75,0.748291,0.845283,0.00827698,9.14559,2.65712,-440.09
SPY210719C00405000,European,Call,405.0,0.0079365079,26.89,0.475616,0.934418,0.00698572,4.90611,2.9849,-157.055
