Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.DIS210625C95000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,496.139,-46.733,0.993,0.0,0.001,-0.388,0.002
US.DIS210625C100000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,100.0,77.24,77.24,0.0,0.0,77.24,2,0,0.0,520.095,-0.622,0.986,0.0,0.003,-0.804,0.002
US.DIS210625C105000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,105.0,71.8,71.8,0.0,0.0,71.8,2,0,0.0,465.164,-0.869,0.987,0.0,0.002,-0.665,0.002
US.DIS210625C110000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,110.0,66.8,66.8,0.0,0.0,66.8,1,0,0.0,389.785,-0.869,0.992,0.0,0.002,-0.375,0.003
US.DIS210625C115000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,115.0,53.8,53.8,0.0,0.0,53.8,8,0,0.0,0.0,-5.354,0.0,0.0,0.0,0.0,0.0
US.DIS210625C120000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,120.0,55.83,55.83,0.0,0.0,55.83,1,0,0.0,372.009,-1.412,0.981,0.001,0.004,-0.758,0.003
US.DIS210625C125000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,125.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-29.913,0.0,0.0,0.0,0.0,0.0
US.DIS210625C130000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,130.0,47.7,47.7,47.7,47.7,47.7,0,1,4770.0,305.824,-0.364,0.978,0.001,0.004,-0.729,0.003
US.DIS210625C135000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,135.0,38.4,38.4,0.0,0.0,38.4,1,0,0.0,0.0,-2.775,0.0,0.0,0.0,0.0,0.0
US.DIS210625C140000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,140.0,38.6,38.6,38.6,38.6,34.55,236,1,3860.0,78.125,0.14,0.999,0.0,0.0,0.0,0.003
US.DIS210625C141000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,141.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,228.462,-20.941,0.976,0.002,0.005,-0.579,0.003
US.DIS210625C142000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,142.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,217.781,-20.381,0.978,0.002,0.004,-0.519,0.003
US.DIS210625C143000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,143.0,32.4,32.4,0.0,0.0,32.4,8,0,0.0,0.0,-1.654,0.0,0.0,0.0,0.0,0.0
US.DIS210625C144000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,144.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,215.187,-19.259,0.972,0.003,0.006,-0.623,0.003
US.DIS210625C145000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,145.0,30.65,30.65,0.0,0.0,30.65,4,0,0.0,205.116,-1.513,0.974,0.003,0.005,-0.565,0.004
US.DIS210625C146000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,146.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,207.271,-18.138,0.968,0.003,0.006,-0.666,0.004
US.DIS210625C147000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,147.0,30.85,30.85,0.0,0.0,30.85,3,0,0.0,78.125,-0.28,0.999,0.0,0.0,0.0,0.004
US.DIS210625C148000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,148.0,25.1,25.1,0.0,0.0,25.1,18,0,0.0,0.0,-2.943,0.0,0.0,0.0,0.0,0.0
US.DIS210625C149000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,149.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,185.928,-16.456,0.968,0.003,0.006,-0.601,0.004
US.DIS210625C150000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,150.0,28.0,28.0,0.0,0.0,28.0,17,0,0.0,78.125,-0.196,0.999,0.0,0.0,0.0,0.004
US.DIS210625C152500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,152.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,162.162,-14.493,0.967,0.004,0.006,-0.533,0.004
US.DIS210625C155000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,155.0,22.4,22.4,0.0,0.0,22.4,15,0,0.0,39.062,-0.532,0.999,0.0,0.0,0.0,0.004
US.DIS210625C157500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,157.5,17.65,17.65,0.0,0.0,17.65,97,0,0.0,0.0,-1.794,0.0,0.0,0.0,0.0,0.0
US.DIS210625C160000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,160.0,17.8,17.8,17.8,17.8,17.87,39,5,8900.0,0.0,-0.308,0.0,0.0,0.0,0.0,0.0
US.DIS210625C162500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,162.5,15.35,15.1,15.35,15.1,15.23,63,2,3045.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.0
US.DIS210625C165000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,165.0,13.3,13.4,13.4,12.55,12.3,94,33,42777.0,0.0,-0.028,0.0,0.0,0.0,0.0,0.0
US.DIS210625C167500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,167.5,10.55,11.25,11.25,10.17,10.48,966,50,53329.0,53.672,-0.168,0.986,0.006,0.003,-0.086,0.004
US.DIS210625C170000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,170.0,8.25,8.87,8.87,7.55,8.0,770,158,128439.0,0.0,-0.056,0.0,0.0,0.0,0.0,0.0
US.DIS210625C172500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,172.5,5.85,6.09,6.35,5.1,5.4,2360,266,149323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US.DIS210625C175000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,175.0,3.27,3.92,4.05,2.58,3.1,3310,969,301182.0,0.0,-0.044,0.0,0.0,0.0,0.0,0.0
US.DIS210625C177500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,177.5,0.93,1.03,1.8,0.4,1.02,3746,4085,334945.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0
US.DIS210625C180000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,180.0,0.01,0.29,0.43,0.01,0.25,9015,28737,311221.0,9.136,0.93,0.029,0.078,0.006,-0.028,0.0
US.DIS210625C182500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,182.5,0.01,0.1,0.13,0.01,0.09,3262,1042,3253.0,19.798,2.332,0.015,0.02,0.003,-0.034,0.0
US.DIS210625C185000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,185.0,0.01,0.05,0.06,0.01,0.05,2910,732,1256.0,29.602,3.734,0.01,0.009,0.002,-0.037,0.0
US.DIS210625C187500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,187.5,0.03,0.04,0.04,0.01,0.05,914,63,106.0,45.013,5.147,0.019,0.01,0.004,-0.096,0.0
US.DIS210625C190000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,190.0,0.01,0.01,0.02,0.01,0.03,1379,156,163.0,47.76,6.537,0.006,0.004,0.001,-0.041,0.0
US.DIS210625C192500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,192.5,0.02,0.02,0.02,0.01,0.03,1086,6,10.0,61.187,7.945,0.01,0.004,0.002,-0.075,0.0
US.DIS210625C195000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,195.0,0.04,0.02,0.04,0.02,0.03,655,14,48.0,76.751,9.358,0.015,0.005,0.003,-0.137,0.0
US.DIS210625C197500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,197.5,0.01,0.01,0.01,0.01,0.02,617,1,1.0,72.784,10.742,0.004,0.001,0.001,-0.044,0.0
US.DIS210625C200000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,200.0,0.01,0.09,0.09,0.01,0.01,760,23,31.0,80.718,12.144,0.004,0.001,0.001,-0.045,0.0
US.DIS210625C202500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,202.5,0.01,0.01,0.02,0.01,0.02,1027,539,540.0,88.5,13.546,0.003,0.001,0.001,-0.046,0.0
US.DIS210625C205000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,205.0,0.02,0.02,0.02,0.02,0.03,663,1,2.0,103.454,14.953,0.006,0.001,0.001,-0.084,0.0
US.DIS210625C207500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,207.5,0.01,0.01,0.01,0.01,0.02,386,1,1.0,103.454,16.349,0.003,0.001,0.0,-0.047,0.0
US.DIS210625C210000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,210.0,0.02,0.02,0.02,0.02,0.02,242,2,4.0,119.171,17.757,0.005,0.001,0.001,-0.087,0.0
US.DIS210625C212500,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,212.5,0.02,0.02,0.02,0.02,0.01,354,2,4.0,126.647,19.158,0.005,0.001,0.001,-0.088,0.0
US.DIS210625C215000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,215.0,0.01,0.01,0.0,0.0,0.01,42,0,0.0,125.122,20.555,0.002,0.0,0.0,-0.05,0.0
US.DIS210625C220000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,220.0,0.03,0.03,0.0,0.0,0.03,132,0,0.0,155.334,23.369,0.006,0.001,0.001,-0.128,0.0
US.DIS210625C225000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,225.0,0.01,0.01,0.0,0.0,0.01,1604,0,0.0,151.977,26.162,0.002,0.0,0.0,-0.051,0.0
US.DIS210625C230000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,230.0,0.01,0.01,0.0,0.0,0.01,15,0,0.0,164.794,28.965,0.002,0.0,0.0,-0.052,0.0
US.DIS210625C235000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,235.0,0.01,0.01,0.0,0.0,0.01,12,0,0.0,177.307,31.768,0.002,0.0,0.0,-0.053,0.0
US.DIS210625C240000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,240.0,0.03,0.03,0.0,0.0,0.03,3,0,0.0,210.571,34.583,0.004,0.0,0.001,-0.136,0.0
US.DIS210625C245000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,245.0,0.01,0.01,0.0,0.0,0.01,25,0,0.0,201.11,37.375,0.001,0.0,0.0,-0.054,0.0
US.DIS210625C250000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,250.0,0.02,0.02,0.0,0.0,0.02,26,0,0.0,226.44,40.185,0.003,0.0,0.0,-0.099,0.0
US.DIS210625P95000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,391.845,46.733,0.0,0.0,0.0,0.0,0.0
US.DIS210625P100000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,100.0,0.05,0.05,0.0,0.0,0.05,2,0,0.0,423.126,43.958,-0.003,0.0,0.001,-0.214,0.0
US.DIS210625P105000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,105.0,0.01,0.01,0.0,0.0,0.01,40,0,0.0,333.251,41.132,-0.001,0.0,0.0,-0.052,0.0
US.DIS210625P110000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,110.0,0.01,0.01,0.0,0.0,0.01,40,0,0.0,305.786,38.329,-0.001,0.0,0.0,-0.051,0.0
US.DIS210625P115000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,628.023,35.52,-0.07,0.002,0.012,-3.853,0.0
US.DIS210625P120000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,120.0,0.02,0.02,0.0,0.0,0.02,2,0,0.0,271.301,32.727,-0.002,0.0,0.0,-0.093,0.0
US.DIS210625P125000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,125.0,0.02,0.02,0.0,0.0,0.02,720,0,0.0,245.361,29.924,-0.002,0.0,0.0,-0.091,0.0
US.DIS210625P130000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,130.0,0.01,0.01,0.0,0.0,0.01,234,0,0.0,206.298,27.115,-0.001,0.0,0.0,-0.048,0.0
US.DIS210625P135000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,135.0,0.01,0.01,0.0,0.0,0.01,556,0,0.0,183.41,24.311,-0.001,0.0,0.0,-0.047,0.0
US.DIS210625P140000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,140.0,0.01,0.01,0.0,0.0,0.01,468,0,0.0,161.132,21.508,-0.002,0.0,0.0,-0.045,0.0
US.DIS210625P141000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,141.0,0.01,0.01,0.0,0.0,0.01,4,0,0.0,156.86,20.947,-0.002,0.0,0.0,-0.045,0.0
US.DIS210625P142000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,142.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,163.726,20.381,-0.004,0.0,0.001,-0.085,0.0
US.DIS210625P143000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,143.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,225.219,19.82,-0.028,0.003,0.006,-0.676,0.0
US.DIS210625P144000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,144.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,214.347,19.259,-0.027,0.003,0.005,-0.608,0.0
US.DIS210625P145000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,145.0,0.01,0.01,0.0,0.0,0.01,349,0,0.0,139.77,18.704,-0.002,0.0,0.0,-0.045,0.0
US.DIS210625P146000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,146.0,0.01,0.01,0.0,0.0,0.01,6,0,0.0,135.498,18.144,-0.002,0.0,0.0,-0.044,0.0
