Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.IBM210702C90000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-38.708,0.0,0.0,0.0,0.0,0.0
US.IBM210702C95000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-35.303,0.0,0.0,0.0,0.0,0.0
US.IBM210702C100000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-31.898,0.0,0.0,0.0,0.0,0.0
US.IBM210702C105000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-28.493,0.0,0.0,0.0,0.0,0.0
US.IBM210702C110000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-25.088,0.0,0.0,0.0,0.0,0.0
US.IBM210702C115000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-21.683,0.0,0.0,0.0,0.0,0.0
US.IBM210702C120000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,120.0,28.3,28.3,0.0,0.0,28.3,23,0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0
US.IBM210702C125000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,125.0,26.05,26.05,0.0,0.0,26.05,3,0,0.0,0.0,2.867,0.0,0.0,0.0,0.0,0.0
US.IBM210702C129000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,129.0,19.4,19.4,0.0,0.0,19.4,2,0,0.0,0.0,1.062,0.0,0.0,0.0,0.0,0.0
US.IBM210702C130000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,130.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-11.468,0.0,0.0,0.0,0.0,0.0
US.IBM210702C131000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,131.0,17.25,17.25,0.0,0.0,17.25,4,0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0
US.IBM210702C132000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,132.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-10.106,0.0,0.0,0.0,0.0,0.0
US.IBM210702C133000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,133.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-9.425,0.0,0.0,0.0,0.0,0.0
US.IBM210702C134000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,134.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-8.744,0.0,0.0,0.0,0.0,0.0
US.IBM210702C135000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,135.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-8.063,0.0,0.0,0.0,0.0,0.0
US.IBM210702C136000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,136.0,9.55,9.55,0.0,0.0,9.55,1,0,0.0,0.0,-0.878,0.0,0.0,0.0,0.0,0.0
US.IBM210702C137000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,137.0,11.7,11.7,0.0,0.0,11.7,2,0,0.0,0.0,1.266,0.0,0.0,0.0,0.0,0.0
US.IBM210702C138000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,138.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,17.433,-6.02,0.992,0.005,0.004,-0.005,0.03
US.IBM210702C139000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,139.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-5.339,0.0,0.0,0.0,0.0,0.0
US.IBM210702C140000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,140.0,6.5,5.85,6.5,5.85,5.45,116,12,7735.0,18.186,-0.231,0.962,0.02,0.017,-0.019,0.029
US.IBM210702C141000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,141.0,6.0,4.3,6.0,4.3,4.85,137,8,4075.0,14.457,0.108,0.971,0.02,0.013,-0.012,0.03
US.IBM210702C142000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,142.0,4.44,4.44,4.44,4.44,5.02,28,5,2220.0,0.0,-0.272,0.0,0.0,0.0,0.0,0.0
US.IBM210702C143000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,143.0,3.6,3.14,3.6,3.14,2.8,531,15,5029.0,13.036,-0.163,0.916,0.053,0.033,-0.026,0.028
US.IBM210702C144000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,144.0,3.01,1.89,3.01,1.89,2.07,108,15,3726.0,15.354,0.115,0.807,0.081,0.059,-0.056,0.025
US.IBM210702C145000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,145.0,2.26,1.52,2.26,1.3,1.8,286,352,63888.0,13.072,0.286,0.745,0.111,0.069,-0.056,0.023
US.IBM210702C146000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,146.0,1.65,1.07,1.65,0.91,1.23,431,347,49298.0,13.763,0.551,0.614,0.127,0.083,-0.071,0.019
US.IBM210702C147000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,147.0,1.02,0.72,1.12,0.61,0.85,509,598,53275.0,13.601,0.803,0.482,0.134,0.086,-0.073,0.015
US.IBM210702C148000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,148.0,0.74,0.45,0.75,0.39,0.53,1172,553,29248.0,14.507,1.293,0.361,0.118,0.081,-0.073,0.011
US.IBM210702C149000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,149.0,0.46,0.32,0.47,0.29,0.36,406,274,10479.0,14.405,1.784,0.25,0.102,0.069,-0.062,0.008
US.IBM210702C150000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,150.0,0.3,0.18,0.3,0.18,0.2,1195,300,6857.0,15.373,2.356,0.178,0.078,0.057,-0.054,0.005
