Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.JPM210702C90000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-41.577,0.0,0.0,0.0,0.0,0.0
US.JPM210702C95000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-38.331,0.0,0.0,0.0,0.0,0.0
US.JPM210702C100000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-35.086,0.0,0.0,0.0,0.0,0.0
US.JPM210702C105000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-31.84,0.0,0.0,0.0,0.0,0.0
US.JPM210702C110000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-28.594,0.0,0.0,0.0,0.0,0.0
US.JPM210702C115000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-25.348,0.0,0.0,0.0,0.0,0.0
US.JPM210702C120000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,66.68,-22.103,0.994,0.0,0.003,-0.013,0.026
US.JPM210702C125000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,125.0,25.93,25.93,0.0,0.0,25.93,13,0,0.0,56.8,-2.025,0.994,0.001,0.003,-0.013,0.027
US.JPM210702C130000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,130.0,24.35,24.35,24.35,24.35,30.02,2,5,12175.0,0.0,0.194,0.0,0.0,0.0,0.0,0.0
US.JPM210702C135000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,135.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-12.366,0.0,0.0,0.0,0.0,0.0
US.JPM210702C137000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,137.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-11.067,0.0,0.0,0.0,0.0,0.0
US.JPM210702C138000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,138.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,39.472,-10.418,0.971,0.007,0.014,-0.036,0.029
US.JPM210702C139000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,139.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,37.288,-9.769,0.97,0.007,0.015,-0.035,0.029
US.JPM210702C140000,AMERICAN,Call,NORMAL,4,5,0.01984126984126984,100.0,140.0,12.95,12.95,0.0,0.0,12.95,88,0,0.0,37.851,-0.714,0.958,0.01,0.02,-0.047,0.029
