Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.QQQ220413C215000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,215.0,0.0,0,0.0,0,129.02,129.02,0.0,0.0,129.02,0,0,0.0,2438.805,1.651,0.996,0.0,0.0,-14.36,0.0
US.QQQ220413C220000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,220.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2592.38,-34.993,0.992,0.0,0.0,-31.084,0.0
US.QQQ220413C225000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,225.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,460.51,-33.516,0.998,0.0,0.0,-0.25,0.001
US.QQQ220413C230000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,230.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,438.61,-32.039,0.998,0.0,0.0,-0.249,0.001
US.QQQ220413C235000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,235.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,417.136,-30.561,0.998,0.0,0.0,-0.247,0.001
US.QQQ220413C240000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,240.0,0.0,0,0.0,0,102.39,102.39,0.0,0.0,102.39,0,0,0.0,2156.445,1.17,0.99,0.0,0.0,-31.681,0.0
US.QQQ220413C245000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,245.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,354.163,-27.606,0.999,0.0,0.0,-0.133,0.001
US.QQQ220413C250000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,250.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,334.821,-26.129,0.998,0.0,0.0,-0.132,0.001
US.QQQ220413C255000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,255.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,315.815,-24.652,0.998,0.0,0.0,-0.132,0.001
US.QQQ220413C260000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,260.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,297.126,-23.174,0.998,0.0,0.0,-0.131,0.002
US.QQQ220413C265000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,265.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,278.737,-21.697,0.998,0.0,0.0,-0.13,0.002
US.QQQ220413C270000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,270.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,260.632,-20.219,0.998,0.0,0.0,-0.129,0.002
US.QQQ220413C275000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,275.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,242.794,-18.742,0.998,0.0,0.0,-0.127,0.002
US.QQQ220413C280000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,280.0,0.0,0,0.0,0,72.55,72.55,0.0,0.0,72.55,0,0,0.0,225.207,4.172,0.998,0.0,0.0,-0.126,0.002
US.QQQ220413C285000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,285.0,0.0,0,0.0,0,40.88,40.88,0.0,0.0,40.88,0,0,0.0,207.854,-3.708,0.998,0.0,0.0,-0.125,0.002
US.QQQ220413C290000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,290.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,190.718,-14.31,0.998,0.0,0.0,-0.124,0.002
US.QQQ220413C294000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,294.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,177.153,-13.128,0.998,0.0,0.0,-0.123,0.002
US.QQQ220413C295000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,295.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,180.383,-12.832,0.997,0.0,0.0,-0.174,0.002
US.QQQ220413C296000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,296.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,170.415,-12.537,0.998,0.0,0.0,-0.122,0.002
US.QQQ220413C297000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,297.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,167.057,-12.241,0.998,0.0,0.0,-0.122,0.002
US.QQQ220413C298000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,298.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,163.706,-11.946,0.998,0.0,0.0,-0.121,0.002
US.QQQ220413C300000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,300.0,0.0,0,0.0,0,71.06,71.06,0.0,0.0,71.06,0,0,0.0,157.022,9.641,0.997,0.0,0.0,-0.121,0.002
US.QQQ220413C302000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,302.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150.364,-10.764,0.997,0.0,0.0,-0.12,0.002
US.QQQ220413C304000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,304.0,0.0,0,0.0,0,64.12,64.12,0.0,0.0,64.12,0,0,0.0,143.73,8.772,0.997,0.0,0.0,-0.119,0.002
