Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.SPY220413C200000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,733.446,-54.315,0.999,0.0,0.0,-0.084,0.001
US.SPY220413C210000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,689.95,-52.031,0.999,0.0,0.0,-0.083,0.001
US.SPY220413C220000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,712.724,-49.747,0.999,0.0,0.0,-0.271,0.001
US.SPY220413C230000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,669.695,-47.463,0.999,0.0,0.0,-0.269,0.001
US.SPY220413C240000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,614.672,-45.179,0.999,0.0,0.0,-0.208,0.001
US.SPY220413C250000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,575.818,-42.894,0.999,0.0,0.0,-0.207,0.001
US.SPY220413C255000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,556.949,-41.752,0.999,0.0,0.0,-0.206,0.001
US.SPY220413C260000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,260.0,0.0,0.0,0.0,0.0,178.2,178.2,0.0,0.0,178.2,0,0,0.0,538.431,0.093,0.999,0.0,0.0,-0.206,0.001
US.SPY220413C265000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,504.88,-39.468,0.999,0.0,0.0,-0.144,0.001
US.SPY220413C270000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,487.473,-38.326,0.999,0.0,0.0,-0.144,0.001
