Maturity,Put/Call,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
"November 22, 2021",puts,SPY211122P00315000,2021-11-10 1:13PM EST,315.0,0.01,0.0,0.01,0.0,-,8,91,162.50%
"November 22, 2021",puts,SPY211122P00320000,2021-11-19 3:57PM EST,320.0,0.01,0.0,0.01,-0.01,-50.00%,1,19,156.25%
"November 22, 2021",puts,SPY211122P00325000,2021-11-04 12:44PM EST,325.0,0.04,0.0,0.01,0.0,-,28,103,150.00%
"November 22, 2021",puts,SPY211122P00330000,2021-11-11 10:29AM EST,330.0,0.01,0.0,0.01,0.0,-,46,59,143.75%
"November 22, 2021",puts,SPY211122P00335000,2021-11-11 10:52AM EST,335.0,0.01,0.0,0.01,0.0,-,1,67,137.50%
"November 22, 2021",puts,SPY211122P00340000,2021-11-12 10:42AM EST,340.0,0.01,0.0,0.01,0.0,-,1,44,131.25%
"November 22, 2021",puts,SPY211122P00345000,2021-11-11 9:49AM EST,345.0,0.02,0.0,0.01,0.0,-,2,61,125.00%
"November 22, 2021",puts,SPY211122P00350000,2021-11-19 9:30AM EST,350.0,0.01,0.0,0.01,0.0,-,1,90,118.75%
"November 22, 2021",puts,SPY211122P00355000,2021-11-12 12:14PM EST,355.0,0.01,0.0,0.01,0.0,-,13,103,115.63%
"November 22, 2021",puts,SPY211122P00360000,2021-11-10 9:30AM EST,360.0,0.04,0.0,0.01,0.0,-,1,264,109.38%
"November 22, 2021",puts,SPY211122P00365000,2021-11-15 9:55AM EST,365.0,0.01,0.0,0.01,0.0,-,9000,9056,103.13%
"November 22, 2021",puts,SPY211122P00370000,2021-11-18 11:45AM EST,370.0,0.01,0.0,0.01,0.0,-,5,358,98.44%
"November 22, 2021",puts,SPY211122P00375000,2021-11-11 3:49PM EST,375.0,0.01,0.0,0.01,0.0,-,25,74,93.75%
"November 22, 2021",puts,SPY211122P00380000,2021-11-19 2:41PM EST,380.0,0.01,0.0,0.01,0.0,-,1,215,87.50%
"November 22, 2021",puts,SPY211122P00385000,2021-11-15 12:20PM EST,385.0,0.02,0.0,0.01,0.0,-,101,313,84.38%
"November 22, 2021",puts,SPY211122P00390000,2021-11-17 10:10AM EST,390.0,0.01,0.0,0.01,0.0,-,116,10234,78.13%
"November 22, 2021",puts,SPY211122P00395000,2021-11-17 3:01PM EST,395.0,0.01,0.0,0.01,0.0,-,9531,10115,73.44%
"November 22, 2021",puts,SPY211122P00400000,2021-11-19 11:33AM EST,400.0,0.01,0.0,0.01,0.0,-,21,1345,68.75%
"November 22, 2021",puts,SPY211122P00405000,2021-11-18 10:06AM EST,405.0,0.01,0.0,0.01,0.0,-,8,1006,62.50%
"November 22, 2021",puts,SPY211122P00408000,2021-11-19 12:45PM EST,408.0,0.01,0.0,0.01,0.0,-,1,694,59.38%
"November 22, 2021",puts,SPY211122P00409000,2021-11-18 11:20AM EST,409.0,0.01,0.0,0.01,0.0,-,3,485,59.38%
"November 22, 2021",puts,SPY211122P00410000,2021-11-19 3:47PM EST,410.0,0.01,0.0,0.01,0.0,-,11,1244,57.81%
"November 22, 2021",puts,SPY211122P00411000,2021-11-18 4:08PM EST,411.0,0.01,0.0,0.01,0.0,-,242,789,57.81%
"November 22, 2021",puts,SPY211122P00412000,2021-11-19 4:14PM EST,412.0,0.01,0.01,0.02,0.0,-,21,612,62.50%
"November 22, 2021",puts,SPY211122P00413000,2021-11-19 4:09PM EST,413.0,0.01,0.01,0.02,-0.04,-80.00%,24,240,60.94%
"November 22, 2021",puts,SPY211122P00414000,2021-11-19 4:12PM EST,414.0,0.01,0.01,0.02,0.0,-,37,121,60.16%
"November 22, 2021",puts,SPY211122P00415000,2021-11-19 3:58PM EST,415.0,0.01,0.01,0.02,-0.01,-50.00%,168,901,59.38%
"November 22, 2021",puts,SPY211122P00416000,2021-11-19 3:42PM EST,416.0,0.01,0.01,0.02,-0.01,-50.00%,2006,417,57.81%
"November 22, 2021",puts,SPY211122P00417000,2021-11-17 3:43PM EST,417.0,0.02,0.01,0.02,0.0,-,7,580,57.03%
"November 22, 2021",puts,SPY211122P00418000,2021-11-19 10:15AM EST,418.0,0.01,0.01,0.02,-0.01,-50.00%,1,1173,55.86%
"November 22, 2021",puts,SPY211122P00419000,2021-11-19 3:42PM EST,419.0,0.01,0.01,0.02,-0.03,-75.00%,237,319,54.69%
"November 22, 2021",puts,SPY211122P00420000,2021-11-19 3:41PM EST,420.0,0.01,0.01,0.02,0.0,-,469,634,53.91%
