Contract Name,Type,Put/Call,Strike,Maturity,Fourier Price
HES0.20P50.00,European,Put,50,0.2,0.093666
HES0.20P55.00,European,Put,55,0.2,0.0969419
HES0.20P60.00,European,Put,60,0.2,0.100723
HES0.20P65.00,European,Put,65,0.2,0.106347
HES0.20P70.00,European,Put,70,0.2,0.117875
HES0.20P75.00,European,Put,75,0.2,0.146306
HES0.20P80.00,European,Put,80,0.2,0.218471
HES0.20P85.00,European,Put,85,0.2,0.393682
HES0.20P90.00,European,Put,90,0.2,0.791132
HES0.20P95.00,European,Put,95,0.2,1.62919
HES0.20P100.00,European,Put,100,0.2,3.27081
HES0.20P105.00,European,Put,105,0.2,6.14667
HES0.20P110.00,European,Put,110,0.2,10.1946
HES0.20P115.00,European,Put,115,0.2,14.8437
HES0.20P120.00,European,Put,120,0.2,19.7146
HES0.20C50.00,European,Call,50,0.2,50.2933
HES0.20C55.00,European,Call,55,0.2,45.3165
HES0.20C60.00,European,Call,60,0.2,40.3402
HES0.20C65.00,European,Call,65,0.2,35.3658
HES0.20C70.00,European,Call,70,0.2,30.3973
HES0.20C75.00,European,Call,75,0.2,25.4457
HES0.20C80.00,European,Call,80,0.2,20.5378
HES0.20C85.00,European,Call,85,0.2,15.733
HES0.20C90.00,European,Call,90,0.2,11.1504
HES0.20C95.00,European,Call,95,0.2,7.00843
HES0.20C100.00,European,Call,100,0.2,3.67001
HES0.20C105.00,European,Call,105,0.2,1.56583
HES0.20C110.00,European,Call,110,0.2,0.633748
HES0.20C115.00,European,Call,115,0.2,0.302789
HES0.20C120.00,European,Call,120,0.2,0.193626
HES0.40P50.00,European,Put,50,0.4,0.0980013
HES0.40P55.00,European,Put,55,0.4,0.108323
HES0.40P60.00,European,Put,60,0.4,0.1276
HES0.40P65.00,European,Put,65,0.4,0.164414
HES0.40P70.00,European,Put,70,0.4,0.233572
HES0.40P75.00,European,Put,75,0.4,0.359439
HES0.40P80.00,European,Put,80,0.4,0.580623
HES0.40P85.00,European,Put,85,0.4,0.956898
HES0.40P90.00,European,Put,90,0.4,1.58097
HES0.40P95.00,European,Put,95,0.4,2.60194
HES0.40P100.00,European,Put,100,0.4,4.26581
HES0.40P105.00,European,Put,105,0.4,6.89204
HES0.40P110.00,European,Put,110,0.4,10.5418
HES0.40P115.00,European,Put,115,0.4,14.8612
HES0.40P120.00,European,Put,120,0.4,19.5117
HES0.40C50.00,European,Call,50,0.4,50.4964
HES0.40C55.00,European,Call,55,0.4,45.5466
HES0.40C60.00,European,Call,60,0.4,40.6057
HES0.40C65.00,European,Call,65,0.4,35.6823
HES0.40C70.00,European,Call,70,0.4,30.7913
HES0.40C75.00,European,Call,75,0.4,25.957
HES0.40C80.00,European,Call,80,0.4,21.2181
HES0.40C85.00,European,Call,85,0.4,16.6342
HES0.40C90.00,European,Call,90,0.4,12.2981
HES0.40C95.00,European,Call,95,0.4,8.35891
HES0.40C100.00,European,Call,100,0.4,5.06262
HES0.40C105.00,European,Call,105,0.4,2.72869
HES0.40C110.00,European,Call,110,0.4,1.41828
HES0.40C115.00,European,Call,115,0.4,0.777505
HES0.40C120.00,European,Call,120,0.4,0.467847
HES0.60P50.00,European,Put,50,0.6,0.119702
HES0.60P55.00,European,Put,55,0.6,0.149815
HES0.60P60.00,European,Put,60,0.6,0.201039
HES0.60P65.00,European,Put,65,0.6,0.285791
HES0.60P70.00,European,Put,70,0.6,0.421954
HES0.60P75.00,European,Put,75,0.6,0.634873
HES0.60P80.00,European,Put,80,0.6,0.960462
HES0.60P85.00,European,Put,85,0.6,1.45066
HES0.60P90.00,European,Put,90,0.6,2.18391
HES0.60P95.00,European,Put,95,0.6,3.28501
HES0.60P100.00,European,Put,100,0.6,4.95302
HES0.60P105.00,European,Put,105,0.6,7.44017
HES0.60P110.00,European,Put,110,0.6,10.8393
HES0.60P115.00,European,Put,115,0.6,14.9221
HES0.60P120.00,European,Put,120,0.6,19.3932
HES0.60C50.00,European,Call,50,0.6,50.7161
HES0.60C55.00,European,Call,55,0.6,45.8059
HES0.60C60.00,European,Call,60,0.6,40.9167
HES0.60C65.00,European,Call,65,0.6,36.0611
HES0.60C70.00,European,Call,70,0.6,31.2569
HES0.60C75.00,European,Call,75,0.6,26.5295
HES0.60C80.00,European,Call,80,0.6,21.9147
HES0.60C85.00,European,Call,85,0.6,17.4646
HES0.60C90.00,European,Call,90,0.6,13.2575
HES0.60C95.00,European,Call,95,0.6,9.4182
HES0.60C100.00,European,Call,100,0.6,6.14585
HES0.60C105.00,European,Call,105,0.6,3.69264
HES0.60C110.00,European,Call,110,0.6,2.15144
HES0.60C115.00,European,Call,115,0.6,1.29382
HES0.60C120.00,European,Call,120,0.6,0.82458
HES0.80P50.00,European,Put,50,0.8,0.159971
HES0.80P55.00,European,Put,55,0.8,0.215425
HES0.80P60.00,European,Put,60,0.8,0.301634
HES0.80P65.00,European,Put,65,0.8,0.432008
HES0.80P70.00,European,Put,70,0.8,0.624527
HES0.80P75.00,European,Put,75,0.8,0.903471
HES0.80P80.00,European,Put,80,0.8,1.30234
HES0.80P85.00,European,Put,85,0.8,1.86905
HES0.80P90.00,European,Put,90,0.8,2.67514
HES0.80P95.00,European,Put,95,0.8,3.83109
HES0.80P100.00,European,Put,100,0.8,5.50365
HES0.80P105.00,European,Put,105,0.8,7.89587
HES0.80P110.00,European,Put,110,0.8,11.1061
HES0.80P115.00,European,Put,115,0.8,14.9906
HES0.80P120.00,European,Put,120,0.8,19.3022
HES0.80C50.00,European,Call,50,0.8,50.9536
HES0.80C55.00,European,Call,55,0.8,46.0884
HES0.80C60.00,European,Call,60,0.8,41.254
HES0.80C65.00,European,Call,65,0.8,36.4637
HES0.80C70.00,European,Call,70,0.8,31.7356
HES0.80C75.00,European,Call,75,0.8,27.0939
HES0.80C80.00,European,Call,80,0.8,22.5722
HES0.80C85.00,European,Call,85,0.8,18.2182
HES0.80C90.00,European,Call,90,0.8,14.1037
HES0.80C95.00,European,Call,95,0.8,10.339
HES0.80C100.00,European,Call,100,0.8,7.09092
HES0.80C105.00,European,Call,105,0.8,4.5625
HES0.80C110.00,European,Call,110,0.8,2.85206
HES0.80C115.00,European,Call,115,0.8,1.81593
HES0.80C120.00,European,Call,120,0.8,1.2069
HES1.00P50.00,European,Put,50,1,0.212191
HES1.00P55.00,European,Put,55,1,0.293193
HES1.00P60.00,European,Put,60,1,0.411872
HES1.00P65.00,European,Put,65,1,0.581778
HES1.00P70.00,European,Put,70,1,0.820606
HES1.00P75.00,European,Put,75,1,1.15192
HES1.00P80.00,European,Put,80,1,1.60798
HES1.00P85.00,European,Put,85,1,2.23442
HES1.00P90.00,European,Put,90,1,3.09799
HES1.00P95.00,European,Put,95,1,4.29781
HES1.00P100.00,European,Put,100,1,5.97558
HES1.00P105.00,European,Put,105,1,8.29743
HES1.00P110.00,European,Put,110,1,11.3572
HES1.00P115.00,European,Put,115,1,15.068
HES1.00P120.00,European,Put,120,1,19.2301
HES1.00C50.00,European,Call,50,1,51.2023
HES1.00C55.00,European,Call,55,1,46.3823
HES1.00C60.00,European,Call,60,1,41.6
HES1.00C65.00,European,Call,65,1,36.8689
HES1.00C70.00,European,Call,70,1,32.2067
HES1.00C75.00,European,Call,75,1,27.637
HES1.00C80.00,European,Call,80,1,23.1921
HES1.00C85.00,European,Call,85,1,18.9175
HES1.00C90.00,European,Call,90,1,14.8801
HES1.00C95.00,European,Call,95,1,11.1789
HES1.00C100.00,European,Call,100,1,7.95572
HES1.00C105.00,European,Call,105,1,5.37657
HES1.00C110.00,European,Call,110,1,3.5353
HES1.00C115.00,European,Call,115,1,2.34511
HES1.00C120.00,European,Call,120,1,1.60629
HES1.20P50.00,European,Put,50,1.2,0.27039
HES1.20P55.00,European,Put,55,1.2,0.375315
HES1.20P60.00,European,Put,60,1.2,0.523114
HES1.20P65.00,European,Put,65,1.2,0.727373
HES1.20P70.00,European,Put,70,1.2,1.00567
HES1.20P75.00,European,Put,75,1.2,1.38123
HES1.20P80.00,European,Put,80,1.2,1.88559
HES1.20P85.00,European,Put,85,1.2,2.56267
HES1.20P90.00,European,Put,90,1.2,3.47499
HES1.20P95.00,European,Put,95,1.2,4.71187
HES1.20P100.00,European,Put,100,1.2,6.39494
HES1.20P105.00,European,Put,105,1.2,8.66208
HES1.20P110.00,European,Put,110,1.2,11.599
HES1.20P115.00,European,Put,115,1.2,15.1563
HES1.20P120.00,European,Put,120,1.2,19.1769
HES1.20C50.00,European,Call,50,1.2,51.4561
HES1.20C55.00,European,Call,55,1.2,46.6796
HES1.20C60.00,European,Call,60,1.2,41.946
HES1.20C65.00,European,Call,65,1.2,37.2688
HES1.20C70.00,European,Call,70,1.2,32.6657
HES1.20C75.00,European,Call,75,1.2,28.1598
HES1.20C80.00,European,Call,80,1.2,23.7827
HES1.20C85.00,European,Call,85,1.2,19.5784
HES1.20C90.00,European,Call,90,1.2,15.6093
HES1.20C95.00,European,Call,95,1.2,11.9647
HES1.20C100.00,European,Call,100,1.2,8.76636
HES1.20C105.00,European,Call,105,1.2,6.15208
HES1.20C110.00,European,Call,110,1.2,4.20759
HES1.20C115.00,European,Call,115,1.2,2.88345
HES1.20C120.00,European,Call,120,1.2,2.02262
