index,M,T,r,q,sig,kappa,theta,zeta,rho,fiPrice
HES-0,1.18932,0.862676,0.0102857,0.00241682,0.493053,1.1815,0.101953,0.198259,-0.874593,26.0183
HES-1,1.11139,2.82145,0.0173634,0.0243215,0.381999,1.63058,0.130916,0.0128523,-0.651018,28.9721
HES-2,1.11781,1.55636,0.0187256,0.0157162,0.373619,1.63913,0.0965554,0.10608,-0.845166,23.7177
HES-3,1.19715,0.751897,0.0212401,0.0184593,0.290685,0.742441,0.178959,0.159051,-0.327596,20.0312
HES-4,0.997071,1.27306,0.0139714,0.0102986,0.334002,0.464931,0.147509,0.15953,-0.79795,15.3733
HES-5,1.17831,1.81363,0.0235486,0.0159958,0.227213,1.47609,0.0337126,0.117101,-0.181686,21.2186
HES-6,1.14978,2.43814,0.011935,0.00157536,0.306452,0.577541,0.0458134,0.196512,-0.524434,25.7229
HES-7,0.872462,1.97784,0.0279615,0.0277284,0.220331,1.40229,0.0188295,0.0169045,-0.29345,9.19797
HES-8,1.14554,2.21075,0.0189592,0.0255508,0.244804,1.47054,0.070251,0.139304,-0.122309,21.3831
HES-9,0.930284,0.682212,0.0228256,0.0287564,0.17941,0.748798,0.0574347,0.195045,-0.330259,3.755
HES-10,1.02167,2.9254,0.01989,0.00133117,0.395486,1.10082,0.0388833,0.191463,-0.240296,29.2579
HES-11,1.02144,1.54778,0.0164611,0.0173933,0.188662,1.78428,0.157241,0.125892,-0.440929,11.1595
HES-12,1.00625,2.79128,0.0128694,0.00891834,0.209153,0.541762,0.0306331,0.0403187,-0.155471,15.2819
HES-13,1.0533,0.650224,0.0139143,0.0122282,0.329785,1.35723,0.0636971,0.186924,-0.643219,13.3047
HES-14,1.06328,0.521878,0.013942,0.0186901,0.419181,1.07868,0.0978164,0.0197566,-0.859858,15.0766
HES-15,0.935395,2.93057,0.0204443,0.0250109,0.477667,1.76547,0.0334063,0.100377,-0.447585,29.3147
HES-16,1.06819,2.25268,0.0238092,0.0178683,0.23618,1.2857,0.0962087,0.168889,-0.10639,18.4032
HES-17,1.09945,0.657606,0.0221148,0.0204922,0.22368,1.58496,0.140115,0.14155,-0.404493,12.7755
